28967	Aquafon	Aquafon JSC
28988	A-Mobile	A-Mobile LLSC
41201	AWCC	Afghan Wireless Communication Company
41220	Roshan	Telecom Development Company Afghanistan Ltd.
41240	MTN	MTN Group Afghanistan
41250	Etisalat	Etisalat Afghanistan
41255	WASEL	WASEL Afghanistan
41280	Salaam	Afghan Telecom
41288	Salaam	Afghan Telecom
27601	Telekom.al	Telekom Albania
27602	Vodafone	Vodafone Albania
27603	Eagle Mobile	Albtelecom
27604	Plus Communication	Plus Communication
60301	Mobilis	Algérie Télécom
60302	Djezzy	Optimum Telecom Algérie Spa
60303	Ooredoo	Wataniya Telecom Algérie
60307	AT	Algérie Télécom
60309	AT	Algérie Télécom
60321	ANESRIF	Anesrif
54411	Bluesky	Bluesky
21303	Mobiland	Servei De Tele. DAndorra
63102	UNITEL	UNITEL S.a.r.l.
63104	MOVICEL	MOVICEL Telecommunications S.A.
365010		Weblinks Limited
365840	FLOW	Cable & Wireless
344030	APUA	Antigua Public Utilities Authority
344050	Digicel	Antigua Wireless Ventures Limited
344920	FLOW	Cable & Wireless Caribbean Cellular (Antigua) Limited
344930		AT&T Wireless
722010	Movistar	Telefónica Móviles Argentina S.A.
722020	Nextel	NII Holdings
722034	Personal	Telecom Personal S.A.
722040	Globalstar	TE.SA.M Argentina S.A.
722070	Movistar	Telefónica Móviles Argentina S.A.
722310	Claro	AMX Argentina S.A.
722320	Claro	AMX Argentina S.A.
722330	Claro	AMX Argentina S.A.
722341	Personal	Telecom Personal S.A.
722350	PORT-HABLE	Hutchison Telecommunications Argentina S.A.
28301	Beeline	ArmenTel
28304	Karabakh Telecom	Karabakh Telecom
28305	VivaCell-MTS	K Telecom CJSC
28310	Ucom	Ucom LLC
36301	SETAR	Servicio di Telecomunicacion di Aruba
36302	Digicel	Digicel Aruba
50501	Telstra	Telstra Corporation Limited
50502	Optus	Singtel Optus Proprietary Limited
50503	Vodafone	Vodafone Hutchison Australia Proprietary Limited
50504		Department of Defence
50505	Ozitel	
50506	3	Vodafone Hutchison Australia Proprietary Limited
50507	Vodafone	Vodafone Network Pty. Ltd.
50508	One.Tel	One.Tel Limited
50509	Airnet	
50510	Norfolk Is.	Norfolk Telecom
50511	Telstra	Telstra Corporation Ltd.
50512	3	Vodafone Hutchison Australia Proprietary Limited
50513	RailCorp	Railcorp, Transport for New South Wales
50514	AAPT	TPG Telecom
50515	3GIS	
50516	VicTrack	Victorian Rail Track
50517		Optus
50518	Pactel	Pactel International Pty Ltd
50519	Lycamobile	Lycamobile Pty Ltd
50520		Ausgrid Corporation
50521		Queensland Rail Limited
50522		iiNet Ltd
50523		Challenge Networks Pty. Ltd.
50524		Advanced Communications Technologies Pty. Ltd.
50525		Pilbara Iron Company Services Pty Ltd
50526		Dialogue Communications Pty. Ltd.
50527		Nexium Telecommunications
50528		RCOM International Pty Ltd
50530		Compatel Limited
50531		BHP Billiton
50532		Thales Australia
50533		CLX Networks Pty Ltd
50534		Santos Limited
50535		MessageBird Pty Ltd
50536	Optus	Optus Mobile Pty. Ltd.
50537		Yancoal Australia Ltd
50538	Truphone	Truphone Pty Ltd
50539	Telstra	Telstra Corporation Ltd.
50540		CITIC Pacific Mining
50541		Aqura Technologies Pty
